Family Name,Other names,Age,Gender,Address,Contact telephone,Identity
Palu,HAMADA,23,Male,45567676,12541310,32543453
NAKYEMA,BANABASI,20,Female,98567454,4222112,45645354
NATAHSA,SALIMU,18,Female,456456455,41245,45656456
NAGAME,HELLEN,18,Male,567554454,112154,33534634
WOTOYA,JOHN,30,Female,567567565,565451,34535434
SOWED,EMILY,18,Male,98988867,6556122,464564564
NAMONDO,MILLY,22,Male,98676766,6512153,345343565
KAMITI,RACHEAL,26,Female,98866656,6531333,353456566
NABUZALE,IRENE,20,Female,975676567,8532215,456453543
DINYA,NURRU,40,Male,878767565,5311333,34535434
WABALE,CLEIR,27,Male,767876756,5313135,34535354
KAMITI,BRENDA,28,Female,676767567,523113,34534534
MUKWANA,ABASA,41,Male,567567676,212321,34535434
MASIFA,WINNIE,38,Female,678765765,353031,34543454
AGREY,ROBERT,22,Male,87676567,321313,3453535
